Start Date;13.02.2020
Start Time;17:51:24
Store Interval;15;min
Threshold;1.0;Volt
Puls On Time;1000;ms
Puls Off Time;3000;ms

Date;Time;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30
14.02.2020;00:06:24;377;546;117;121;477;666;2333;399;825;0;289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;00:21:24;396;571;122;128;497;695;2406;416;862;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;00:36:24;414;596;127;134;516;724;2479;432;900;0;311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;00:51:24;431;619;132;140;532;752;2549;446;935;0;321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;01:06:24;449;644;134;144;551;780;2619;461;973;0;331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;01:21:24;469;670;139;151;570;810;2689;477;1012;0;342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;01:36:24;488;696;145;158;589;840;2758;494;1052;0;353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;01:51:24;508;723;150;165;608;869;2826;510;1092;0;364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;02:06:24;528;749;155;173;627;899;2893;526;1132;0;375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;02:21:24;548;776;160;180;647;929;2959;542;1173;0;386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;02:36:24;569;804;165;187;666;960;3025;558;1214;0;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;02:51:24;590;831;170;195;685;990;3089;575;1256;0;408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;03:06:24;611;859;175;203;704;1021;3153;591;1299;0;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;03:21:24;630;885;180;208;721;1049;3214;605;1340;0;429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;03:36:24;651;914;181;215;740;1080;3276;620;1384;0;439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;03:51:24;673;943;187;223;760;1111;3338;637;1428;0;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;04:06:24;696;973;192;232;779;1143;3399;653;1473;0;462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;04:21:24;719;1003;197;240;799;1174;3460;670;1519;0;473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;04:36:24;742;1033;202;249;819;1206;3520;687;1566;0;484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;04:51:24;765;1064;207;258;838;1238;3579;703;1613;0;496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;05:06:24;789;1096;212;266;858;1271;3637;720;1660;0;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;05:21:24;813;1128;217;275;878;1304;3695;737;1709;0;518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;05:36:24;838;1160;221;285;898;1337;3752;754;1758;0;530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;05:51:24;863;1193;227;294;919;1371;3809;771;1808;0;542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;06:06:24;888;1226;231;304;939;1404;3865;788;1859;0;553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;06:21:24;914;1260;236;313;960;1439;3920;805;1910;0;565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;06:36:24;941;1295;243;324;981;1474;3975;822;1964;0;577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;06:51:24;965;1327;243;330;998;1507;4028;836;2014;0;586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;07:06:24;993;1363;247;340;1020;1542;4082;854;2068;0;598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;07:21:24;1021;1399;252;350;1041;1579;4135;871;2123;0;610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;07:36:24;1049;1436;257;361;1062;1616;4188;888;2179;0;622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;07:51:24;1078;1473;262;371;1084;1654;4241;906;2235;0;634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;08:06:24;1108;1511;267;382;1105;1692;4293;924;2293;0;646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;08:21:24;1138;1550;272;394;1127;1732;4344;941;2352;0;658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;08:36:24;1168;1590;277;405;1150;1771;4395;959;2411;0;671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;08:51:24;1200;1630;281;416;1172;1812;4446;977;2472;0;683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;09:06:24;1231;1671;286;428;1195;1854;4496;995;2533;0;696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;09:21:24;1264;1712;291;439;1218;1896;4545;1012;2596;0;708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;09:36:24;1297;1755;296;451;1241;1940;4595;1030;2660;0;721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;09:51:24;1331;1798;301;464;1265;1984;4644;1048;2724;0;734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;10:06:24;1365;1841;305;476;1289;2030;4692;1066;2789;0;747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;10:21:24;1400;1886;310;488;1312;2077;4740;1084;2856;0;760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;10:36:24;1435;1931;314;500;1337;2125;4787;1102;2923;0;772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;10:51:24;1472;1977;319;513;1362;2174;4835;1120;2991;0;786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;11:06:24;1510;2025;325;527;1388;2226;4883;1140;3062;0;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;11:21:24;1548;2073;332;540;1414;2279;4929;1159;3133;0;814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;11:36:24;1585;2121;332;552;1438;2331;4974;1175;3202;0;826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;11:51:24;1626;2171;338;567;1465;2387;5021;1195;3276;0;841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;12:06:24;1666;2223;343;582;1493;2445;5067;1209;3350;0;855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;12:21:24;1707;2274;347;596;1521;2503;5112;1231;3424;0;869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;12:36:24;1749;2326;351;610;1549;2564;5157;1251;3499;0;884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;12:51:24;1791;2380;356;625;1577;2626;5202;1271;3575;0;898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;13:06:24;1834;2434;360;640;1606;2690;5246;1290;3652;0;913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;13:21:24;1878;2490;366;655;1637;2757;5291;1310;3730;0;929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;13:36:24;1924;2547;372;672;1668;2825;5336;1330;3809;0;944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;13:51:24;1969;2605;378;688;1700;2895;5381;1350;3889;0;960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;14:02:05;2002;2647;384;701;1725;2946;5412;1365;3947;0;972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0

Stopped;14.02.2020;14:02:05
